DougD0217,23,3,39.8,257
00xSAI,26,20,17.5,219
AlwaysB,27,69,31.3,1128
WiseThief92,27,695,1541.1,10321
1TheyLuv1,29,139,130.3,1020
galaxyq36,29,54,111.8,1450
Candisue09,31,77,319.2,2163
Arie01234,33,113,336.5,1685
Ben20203,33,292,204,1798
Birdboy162624,33,177,250.5,2179
GengarGirl39,33,89,63.4,3811
Ki113rC10wn2717,33,82,416.4,2362
Michael19866,33,298,252.2,2516
Olivia10291314,33,106,494.6,1998
spidithewonder1,33,307,173.9,5877
SQUATBOIA,33,115,61.9,2033
Zombgreaser,33,138,1584.2,2686
AURORARAWR8675,34,211,172.7,3093
BlastedApplePie,34,130,1509,3550
DaCoolGuyChris,34,260,1369.9,3097
HustonZ,34,396,68.6,2500
James69518274,34,53,143.1,3641
p1bzu,34,329,169.1,4748
SHINYYYGABY,34,361,202.5,3618
SleepyHallowzZ,34,186,1314.7,5598
smurfoverlord1,34,419,863.2,2351
Avery4413,35,283,113.8,3576
BrownMamba08,35,524,650.9,4877
CamHoody,35,597,1576.9,3844
FerventJelly,35,465,96.4,3639
HeatherDawn4488,35,296,297.8,3273
Isaacvega14,35,403,435,3211
Melodius18,35,139,165.1,3285
Morticia13sin,35,204,612.8,5262
Tdog1569,35,406,2322.7,3425
VictoriaAstra,35,197,617.3,6946
WorthlessPeon08,35,231,225.8,4551
Angelica1429,36,620,226.6,4406
AssassinRoss2,36,103,153.2,4894
Badblade,36,223,917.2,8310
EcoloVoyager,36,771,1757.3,6095
GigglyJuggz,36,178,194.1,3694
JoseSoto787,36,260,2155.4,5812
K1ng3thann,36,235,207,4283
mariathagr8,36,159,1063.3,13666
ProMilkEnjoyer,36,570,712.1,5070
TheRealBickett,36,603,1028.5,5620
TyGuyHoody,36,559,836.4,4498
Bulbasaur123619,37,377,429.9,8968
cielo00,37,841,641,12439
daytr0y,37,703,1227.6,5620
DSSDennis,37,464,4410,8984
Hazmatazatron,37,453,9745.4,8942
JRodSparks16,37,245,331.7,5904
LadyOwl416,37,251,79.3,4125
LauricaFox,37,1178,1983.2,10330
Lette724,37,890,1579.9,8036
Marinanaya9,37,592,306.4,6222
MMtgdjm,37,321,1181.3,7761
MrsGomez2323,37,211,289.4,7707
RealThinksalot,37,522,262.5,7248
rotcarnage,37,935,563.1,17274
TheBabyBugg,37,919,442.4,16772
UnknownRED65071,37,558,392.7,3992
YoungNeymar1110,37,438,1551.5,5684
Adilenneskiski,38,373,151.3,4141
Beastgordo,38,602,5289.4,8101
Berserk418,38,638,2268.1,8840
Caligirlyesse,38,309,1230.9,7912
Carrnage101,38,528,786,5732
Cuphead20151406,38,537,463.7,8281
damilleski,38,624,551.6,11069
DestinyGonzo247,38,701,1717.6,11954
G00DMANJONES,38,2420,4827.7,9756
IsaiahDonahue28,38,444,3026.5,7886
JoeBisquick,38,1305,1587,7288
Junior400,38,733,1018.6,8195
KeyL369,38,462,726,9160
LegendaryMegaYK,38,1200,1043.1,14042
MegaxVaporeon,38,306,3085.6,15044
Mrsf33lg00d,38,1292,1961.4,12983
Msdustbunny,38,849,509.2,8813
PokeBountyBooth,38,582,1037.6,7262
Romanator20000,38,642,620.9,6776
Ryangraham12,38,990,1957.8,8993
SainNeji,38,490,381.7,8135
thetruckermike,38,722,640.5,7419
Tracypokemon,38,572,2648.6,17594
VNess132224,38,260,1045.6,9279
WhiteRyce,38,1389,1124.7,11697
xxP0NYB0Yxx,38,1289,5945.1,16189
420Cologne,39,724,2091.1,8745
83boomer,39,622,1162.4,13184
africaaaaa1327,39,639,2282.1,8582
AyyeBoogs,39,1042,6821.3,14025
B00berry3,39,1456,2888.1,10777
bboyroo,39,663,4637.8,17398
CalvinApache,39,1004,5532.4,19434
CassEmAll0216,39,578,858.6,11435
Cookiemomster33,39,210,3498.3,11213
Daphdaddy89,39,503,923.9,11287
Faarkk,39,1283,1796.2,17284
FerventToast303,39,641,2509.4,8720
four4ey3z,39,2536,4860.4,12752
Gendertoster,39,297,250.4,10789
L0RDMoldywart,39,1212,968.6,13807
Marff03,39,1614,4254.3,14617
Miguelonarch,39,936,5515.3,13454
OG602Trainer,39,530,1275,10090
OVER9Thousand0,39,444,1112.6,6330
Perez262sick,39,1243,5157.4,15478
raiders44444,39,1446,1274,10829
Reminara,39,1059,482,22778
SharGar2,39,670,2070.7,13244
shelbylu10,39,331,1272.7,13328
SleepySociety,39,659,642.8,10582
xKuroKuma7,39,423,1595.9,9291
0JayEmm,40,3391,3530.2,13664
Acunajr2083,40,669,1542.2,12329
alicewolf88,40,2081,1708,14203
Azglendale,40,1276,3400,22989
AZonlyGPA,40,1113,2944.8,17055
Baby4alex,40,2157,950.2,16267
Blazin219,40,1250,868.5,10118
BleedBlueDC4L,40,767,3734.8,11161
BMFbryan,40,940,2683.2,17701
Bucky734,40,2172,2076,12759
CaptainRexx2009,40,1040,1050.1,19143
ChrisCatchem419,40,796,382.7,8133
Daninaz,40,1125,5438.1,17341
DanK4Ever,40,71,186.3,10650
DarkPixels2,40,571,536.6,27121
Dw3in3r,40,564,3850.7,16436
flypizza1010,40,941,3441.7,12565
Issaiah060800,40,665,1169.4,16391
Jesus011017,40,618,606.2,21318
kb7no24,40,1261,841.6,14665
Leprechaun1290,40,332,7123.2,16629
Lizcoi,40,961,2007.4,13909
Lizzagna94,40,696,1302.7,14603
Masonski,40,680,4340.3,13314
MedalPoke1,40,1337,3289.5,19653
MythicBlaze1,40,958,589.9,13747
Oceanflare,40,1634,1488,15830
Rayray546042,40,770,496.6,7700
RuggedCrossK9,40,2228,1884.4,15604
Selenaphx,40,926,4564.2,17624
SJMoseby,40,1305,7626.6,19209
SNKEYES103,40,975,924.3,10901
SQUATDOGS,40,1243,1027.8,19449
Travisjonovich3,40,1479,4607.9,21434
UncleCr33pee,40,1045,2630.4,15812
Valor7GAR,40,485,4628.3,15129
walderwalder,40,812,4836.8,19342
xxJunCtiOnxx,40,6073,593.5,11642
yaboiiluke,40,1018,2216.5,13075
Abcaaaaa5,41,747,638.2,15408
AloemaKween,41,1436,2056.7,10975
Andrethebeast18,41,2523,2475.1,29964
BABYSOTA,41,787,3609.4,29759
BigSexy,41,3071,2906.9,32816
Camou91,41,1284,3435.4,26848
CharlotteAZ14,41,1320,798,18497
ChingyBling,41,1227,1412.9,16386
Cutielacey,41,1989,4493.2,30596
DaddyAF100,41,3963,3154.4,22682
Dobtinapos,41,2201,3256.7,47045
Dodly420,41,988,2891.2,25513
Drxf33lg00d,41,2175,5426.4,39625
Endokfile,41,1127,1931,37739
Gbear3112,41,3200,1812.4,16558
jeffroto,41,886,1780.7,23710
jennboben,41,859,1449.9,27340
JonasGotEmm,41,1295,1539.2,32552
Leomanvasbar,41,479,5754.2,73348
LightAgate,41,5207,28416.1,36010
lVlesias,41,431,267.5,12981
mandykamiya,41,274,10735.5,15009
MrEddieV28,41,766,2015.2,23164
MrsHere4Tea,41,1312,5077.1,26900
PapiChulo1817,41,4402,12023.5,42367
PokeDennis2016,41,1034,4253.5,11561
Rickyaf217,41,12114,6790.9,18403
SanLuisTrainer,41,739,1438.8,30639
SpoofNation14,41,1543,4413.9,17983
StrawhattMatt81,41,2095,1547.2,20722
tcastillo13,41,2953,1617.4,27276
TeamLegionNick,41,1731,4640.8,19736
TerkAlmighty,41,844,1919.5,19795
Timothy1345,41,821,1186.4,14173
Tiojuice87,41,2581,7932.6,27247
Turnerisblack69,41,1795,1887.9,13703
yusako05,41,839,2672.4,13179
DaddyHoody,42,5070,16791,34123
Ericoi,42,2509,1897.8,30587
Fluffdogg602,42,2709,1517.3,18621
Fun4AllComics,42,4344,10930.8,19745
Goku4U2,42,2384,5253,33736
Jdudge,42,1558,3581.8,47665
JeffTh3Don,42,472,849,20120
Leahpokeant,42,2893,4990,27427
MightyMike7333,42,825,3921.2,22639
mmiimmoo08,42,1980,718.5,11089
MrsNinaVe,42,1363,1473.8,19938
pogo053112,42,2558,1325.7,21211
tacobellboi69,42,1161,1412.8,20875
VAL0RIOUS,42,1709,11058.4,29094
VvnPsyMS,42,1629,3319.2,20729
Whodatb123,42,2222,3409,27879
733X24,43,3195,7555.4,51157
91KaiKong,43,1799,7863.5,33322
Allyg8r,43,1041,4513.4,45832
Caelan13,43,2847,1744.5,32764
Captainsauces,43,1851,3677.4,57509
Diamondis44,43,1482,4989.9,47742
Fishy274,43,2801,6678.3,32392
JasmineRiceOnly,43,1940,1598.9,20067
LaChickaBling,43,1752,1527.4,39223
LuckyTrell,43,3299,5689.5,46164
MACHETIE753,43,4269,6500.7,81694
MarlonJBilico,43,1855,5802.8,24815
mouse0921Jr,43,1155,2972.3,45503
NoeR1988,43,1927,5018.3,92425
NotoriousNeeciee,43,5810,13585.2,43654
p12imeTime4Alex,43,3234,5067.5,35641
Papimiranda1964,43,3870,5238.5,60086
Peachypeach369,43,1800,5897.3,35994
popinater2018,43,1901,7830,34853
Robinamofo,43,1757,2181.1,35278
Roshola,43,2078,2524.7,29158
Rxdrsue,43,2980,2088,49711
Sasquach824,43,2254,8815,36628
smoseby,43,2278,13140.4,23684
SomaSun,43,3107,1856.4,24664
tomopa26,43,3052,13632.7,144215
4MyGo321,44,2694,3096.6,44255
7JKL119,44,5568,6237.1,45973
azFeared,44,2216,2169,34068
Brandon6655364,44,1864,2924.3,70207
Cambunney,44,2213,2755.3,28317
Chetwich,44,2764,13182.6,82245
Chinolowkz58er,44,3100,4244.9,66899
Dougiefresh4200,44,1227,3349.8,25804
DragonLoverAz,44,3673,13229,45565
ElSinnNombre,44,2545,3347.2,21864
Hayleybug93,44,2535,2143.3,28420
ImmerWolf,44,6725,9664,60604
Itzluno11,44,999,8267.5,33266
jfant427,44,3266,6203.1,62696
LittleCableBoy,44,842,5196.2,38187
MarisonGG711,44,2722,3404.2,47899
MeanGreen75,44,6440,8990.6,60165
Mouse0921,44,2301,4724.2,67019
Ninerbrokski,44,3298,4417.6,34062
No1Sora1223,44,8337,7187,72116
otherperson1,44,4088,4177.7,79624
Phille17,44,4483,7095.3,65788
pmvisionz,44,1153,6817.5,52401
Pokedoll21,44,1426,8251.3,62797
SHABAZOO1008,44,3189,3289.2,30087
shunshun1Go,44,4712,6745.4,49636
SidequestSiren,44,2914,3912.2,47179
SincreaHiroki,44,4595,3573.3,64679
SirenaAZ,44,6160,22065,72978
tdow1738,44,6216,4113.9,37445
Tonelocc65,44,2603,5493.8,34075
twofive6,44,3235,2665.8,41183
UndeadRed02,44,554,1645.9,42074
Zachdodd,44,6087,8626.5,17008
Andre2Kay,45,5712,5016.9,40015
FuirousGeorge80,45,1664,3146.9,77490
Joey091100,45,8119,11051.1,89766
MadJinx73,45,3728,5162,70671
Mattasauraus,45,4380,6256.6,22953
MeanJennyB,45,2053,2289.3,38575
ohsnapitscaity,45,2038,3335.5,50924
RicardoCutz,45,1980,8293.4,58830
SuperMario1234,45,6375,3329,42869
tototi73,45,1958,1961.3,66221
AssKetchup4L,46,2928,2207.8,71887
Boodiche17,46,1582,9480.2,43055
chaboijr15,46,1467,2058.2,57243
DisneyMagicPoGo,46,3234,2341.2,54762
Jjman90,46,15453,11495.6,92138
MISB67,46,2680,3983.2,34635
MrRop,46,3505,12436.8,95898
Tinpomenn,46,5690,3493.6,117154
xxCoramDEOxx,46,2049,2060.3,52794
Zach629798557,46,3262,5651,47322
Alaksagurl64,47,4056,3143,74920
CoyoteChych6,47,5790,59732,202900
ElliJustin,47,6594,27650.4,46055
ElliRae1994,47,4258,2850.8,50247
Gonzo200120,47,4419,55527.2,182255
M4ritOC,47,7173,11752.5,83340
rikanonrinorin,47,2825,2049,181753
Tomdesuu,47,2608,1555.5,55510
Vin3553,47,6905,10298.2,89130
xCurlyE,47,4388,15966.4,98508
BeedrillPapi,48,6827,7040.9,110336
biggz9,48,5243,5514.5,88500
Cafemaster003,48,5215,9455,135108
Jordache1416,48,16755,13402.2,58620
MeanMachineJ,48,3946,6905.7,90797
MIKEOTHECHAMP,48,16013,8934.2,152556
RaspberryMeme,48,3175,5561.3,52926
RodgerBlake,48,19009,13931.6,130396
sakuson55,48,6210,19317.5,219448
Skqad91,48,4167,16267.4,123401
xBlackLuraciox,48,3363,12435.9,84758
AKOkasagan,49,4110,6087.3,121529
Hueytho,49,18275,9884.1,214438
mochalulu7891,49,15176,16399.7,391191
Saksuki1000,49,14847,69599.9,518025
TheMalicious0ne,49,5114,39094.1,111295
TOHOKUNOITO,49,28862,16003.9,260229
ymomasa,49,27005,17346,172012
00xJ0,50,10616,17460.5,261968
0obluebubbleo0,50,40801,51065.5,414281
2lyJ2ly,50,4862,12691.8,104407
2PJ2PA092002,50,11392,8669.6,160440
BELLIX919,50,2099,6985.3,69821
Boss2122122121,50,9009,41519.1,470806
Cesium78,50,28572,21641.3,620948
Cyoreeen,50,46641,42199.1,262425
Deaddook,50,5136,11093.8,141231
Diamond1Julia,50,4924,6241.6,153269
dorakichicchi,50,15947,22377.3,648449
FiestaGHIA,50,15894,14355.1,290563
Fishback2001,50,7407,15853.6,141075
Gettsu38,50,20326,18814.5,644467
hiko454,50,57655,135942.2,968703
hima810,50,32718,10814.1,201548
HUCKLEBERRYPIES,50,17442,65478.6,299912
Ichigo33utan,50,15761,13630.6,246628
ikamasa53,50,17937,15046.7,133272
INOSHIN1001,50,18721,20439.6,431940
Jasnar,50,4478,10574.5,112743
JessBSW2016,50,35007,18140.3,632331
KaryBell132,50,1328,6140.6,126270
kemipiyo,50,40953,38878.2,478157
kiwibrent,50,7731,14646.9,347809
Ktjohnson994,50,9050,10411.9,137049
makotsumiyo,50,14535,15161,390352
mappylamu,50,66419,22905.6,607891
maron24an,50,54164,40301.1,1238269
masahiro749,50,5869,15857,248358
Me11owPePper,50,16834,19321,373772
Moti1219,50,12013,11318.1,294870
MrWigglesWI,50,12793,25465.5,364862
NaritaBrian1994,50,32527,45492.6,682721
nejiPonn,50,3922,22553.3,247190
Noacoco46529,50,91680,13100.1,249415
nomchankaboo,50,27248,12183.2,341932
P00BEARY,50,11725,23200.9,267770
Patchillkun,50,46652,27151.9,829231
pikeluuchi,50,5275,24168.6,377565
PoPs22,50,16047,12791.2,276150
Random392464098,50,2966,13780.2,132431
RareBird88,50,7490,41265,154953
REDKARASU,50,13019,30029.8,270518
Rizzinator717,50,15005,16326.2,393366
rNurseOlive,50,10441,8344.3,126484
RowaldRull,50,15203,104500.9,345492
RYO19790506,50,26403,34459.2,300315
Safety5,50,29033,53568.2,280183
Seachan0704,50,46148,88044.8,478109
sira0402,50,13079,22237.7,322245
sosatoru,50,7830,13494.5,160005
StormyMondays,50,6061,15268.3,297342
sunrise080808,50,16376,9883.6,237215
Sunset201701,50,52586,60534.2,358830
taketyo884,50,35897,28397.5,588133
TBC0523,50,24296,13256.5,270230
TETSUKAGE149,50,23061,8483.2,430684
ThankyouM39,50,8250,95125.5,485340
Toshi7921,50,23597,11495.6,306606
TrainerDanny21,50,17190,14879,488165
tsuka1212,50,5928,8882.8,160165
Ttttt343,50,5548,11280.5,334378
UMITOww,50,11771,25913.7,451998
uriel346674,50,5460,5745.8,171978
Vildroten,50,106159,28460.2,761901
Willdenner,50,19561,104085.6,221444
xKatyvonParry,50,20040,15327.6,337193
Xmasrose,50,11755,19117.3,362527
Yaassuuuu,50,18202,46310.5,664388
yo23k,50,41194,44208.1,381469
yuCamo8,50,7683,8665.1,226974
yuki313yuki,50,13784,23066.3,576029
